'3df1e6d3,Shalini,2023-05-05 13:26:09,added linkedin link for icon'
'68f9c7d4,Shalini,2023-05-05 13:24:46,added instagram link for icon'
'6ab75cd0,Shalini,2023-05-05 13:24:02,added facebook link for icon'
'7c93df2e,Shalini,2023-05-05 13:23:43,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'42aa3aca,Shalini,2023-05-05 13:22:51,added in the routes for footer'
'5cc6791f,arinamaros,2023-05-05 13:15:33,project details'
'5b27c2b0,Shalini,2023-05-05 13:12:28,fixed footer layout'
'4eba388d,Shalini,2023-05-05 13:06:58,changed more footer css'
'c653c3cc,Shalini,2023-05-05 13:02:27,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'4754f030,Shalini,2023-05-05 13:02:09,made footer css for bg theme'
'34e9989b,arinamaros,2023-05-05 12:57:05,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'1d471434,arinamaros,2023-05-05 12:56:52,checkout'
'7fbb2b91,Shalini,2023-05-05 12:47:30,made classes for heart icon'
'577cd2f4,Shalini,2023-05-05 12:35:59,made adjustments'
'87e640cf,Shalini,2023-05-05 12:17:33,made classes for google playstore in footer'
'65c9a851,Shalini,2023-05-05 12:12:18,made classes for appstore in footer'
'f54d58b0,Shalini,2023-05-05 12:08:29,created container class and subclasses'
'84329e10,Shalini,2023-05-05 12:00:55,added social media icons'
'5a614fb7,Shalini,2023-05-05 11:33:44,created websiteurl class and location class'
'21069e56,Shalini,2023-05-05 11:29:05,created stay connected column heading with list'
'737d18ed,Shalini,2023-05-05 11:24:31,created legal column heading with list'
'f72c7d43,Shalini,2023-05-05 11:21:38,created resources column heading with list'
'cbc04ef3,Shalini,2023-05-05 11:18:38,created highlights column heading with list'
'e5430c46,Shalini,2023-05-05 11:12:30,added footer class'
'2057c7e7,arinamaros,2023-05-05 00:49:53,checkout'
'79f7a518,arinamaros,2023-05-05 00:33:07,desert'
'8fe9a772,Shalini,2023-05-05 00:31:43,made table border darker for custom menu'
'3bc25614,arinamaros,2023-05-05 00:11:09,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'e896ece6,arinamaros,2023-05-05 00:10:53,event details'
'415b8643,Shalini,2023-05-05 00:07:09,small change'
'24a1d9f0,Shalini,2023-05-04 23:59:40,removed header section for custom menu'
'c2629f51,Shalini,2023-05-04 23:57:11,added card css for assign menu items page'
'1b07ec45,Shalini,2023-05-04 23:44:55,made css for menuitems custshow'
'91ebfecd,Shalini,2023-05-04 23:43:53,changed the details title for products'
